<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;15;20211207;071500;5080.0000000;5099.8000000;5068.0000000;5094.2000000;719
YNDX;15;20211207;073000;5094.2000000;5098.8000000;5062.4000000;5082.6000000;1318
YNDX;15;20211207;074500;5082.6000000;5121.8000000;5070.6000000;5107.0000000;4068
YNDX;15;20211207;080000;5107.0000000;5118.0000000;5070.0000000;5070.0000000;3266
YNDX;15;20211207;081500;5073.0000000;5116.8000000;5073.0000000;5100.0000000;2193
YNDX;15;20211207;083000;5100.0000000;5111.6000000;5083.4000000;5099.8000000;1093
YNDX;15;20211207;084500;5099.8000000;5099.8000000;5090.0000000;5095.0000000;1676
YNDX;15;20211207;090000;5095.0000000;5095.0000000;5085.0000000;5095.0000000;1619
YNDX;15;20211207;091500;5095.0000000;5099.0000000;5087.8000000;5099.0000000;560
YNDX;15;20211207;093000;5099.0000000;5117.8000000;5098.6000000;5115.4000000;2394
YNDX;15;20211207;094500;5115.2000000;5119.8000000;5109.2000000;5116.0000000;2001
YNDX;15;20211207;100000;5116.0000000;5116.0000000;5110.0000000;5116.0000000;2034
YNDX;15;20211207;101500;5115.0000000;5138.8000000;5092.8000000;5112.0000000;21910
YNDX;15;20211207;103000;5112.4000000;5132.0000000;5096.0000000;5109.0000000;12564
YNDX;15;20211207;104500;5109.0000000;5116.4000000;5054.4000000;5067.0000000;25319
YNDX;15;20211207;110000;5065.0000000;5085.2000000;5042.0000000;5079.4000000;24163
YNDX;15;20211207;111500;5080.0000000;5111.8000000;5072.6000000;5089.8000000;27558
YNDX;15;20211207;113000;5094.2000000;5126.4000000;5087.8000000;5122.4000000;26122
YNDX;15;20211207;114500;5121.0000000;5155.4000000;5117.2000000;5140.0000000;24671
YNDX;15;20211207;120000;5140.0000000;5155.0000000;5134.4000000;5143.0000000;7034
YNDX;15;20211207;121500;5148.4000000;5152.0000000;5132.8000000;5140.4000000;9339
YNDX;15;20211207;123000;5141.0000000;5148.0000000;5140.4000000;5142.0000000;2771
YNDX;15;20211207;124500;5144.4000000;5148.0000000;5133.6000000;5146.2000000;5388
YNDX;15;20211207;130000;5146.0000000;5157.8000000;5139.4000000;5143.4000000;8059
YNDX;15;20211207;131500;5146.0000000;5148.0000000;5138.8000000;5139.2000000;7536
YNDX;15;20211207;133000;5139.0000000;5143.4000000;5132.4000000;5140.0000000;4278
YNDX;15;20211207;134500;5142.0000000;5155.0000000;5142.0000000;5154.8000000;21078
YNDX;15;20211207;140000;5154.8000000;5155.0000000;5142.0000000;5151.6000000;8042
YNDX;15;20211207;141500;5151.6000000;5157.0000000;5147.6000000;5153.8000000;4023
YNDX;15;20211207;143000;5154.0000000;5159.0000000;5148.6000000;5156.2000000;6133
YNDX;15;20211207;144500;5156.0000000;5168.4000000;5152.0000000;5166.6000000;13681
YNDX;15;20211207;150000;5166.6000000;5178.0000000;5158.2000000;5169.0000000;15508
YNDX;15;20211207;151500;5168.8000000;5169.6000000;5150.4000000;5152.4000000;9069
YNDX;15;20211207;153000;5154.6000000;5160.4000000;5152.8000000;5153.6000000;13721
YNDX;15;20211207;154500;5155.6000000;5172.0000000;5140.8000000;5170.0000000;16702
YNDX;15;20211207;160000;5170.0000000;5173.2000000;5155.0000000;5164.6000000;24768
YNDX;15;20211207;161500;5165.2000000;5165.4000000;5150.4000000;5162.2000000;10741
YNDX;15;20211207;163000;5160.6000000;5164.2000000;5135.0000000;5138.6000000;14193
YNDX;15;20211207;164500;5140.4000000;5155.8000000;5138.2000000;5152.8000000;6071
YNDX;15;20211207;170000;5156.0000000;5164.0000000;5123.4000000;5123.6000000;15462
YNDX;15;20211207;171500;5123.8000000;5126.0000000;5107.0000000;5125.6000000;20084
YNDX;15;20211207;173000;5123.2000000;5126.0000000;5088.2000000;5101.6000000;21742
YNDX;15;20211207;174500;5101.6000000;5142.2000000;5050.8000000;5069.6000000;84372
YNDX;15;20211207;180000;5065.2000000;5087.8000000;5055.6000000;5076.2000000;29445
YNDX;15;20211207;181500;5077.8000000;5077.8000000;5050.2000000;5067.4000000;53620
YNDX;15;20211207;183000;5071.2000000;5096.8000000;5060.0000000;5090.0000000;64999
YNDX;15;20211207;184500;5090.0000000;5108.8000000;5082.2000000;5086.0000000;53632
YNDX;15;20211207;190000;5106.0000000;5106.0000000;5106.0000000;5106.0000000;28674
YNDX;15;20211207;191500;5107.0000000;5110.0000000;5092.0000000;5104.4000000;7239
YNDX;15;20211207;193000;5101.2000000;5101.6000000;5081.0000000;5085.6000000;6627
YNDX;15;20211207;194500;5089.2000000;5098.8000000;5080.6000000;5082.8000000;19586
YNDX;15;20211207;200000;5083.0000000;5088.6000000;5070.2000000;5076.0000000;12321
YNDX;15;20211207;201500;5073.0000000;5081.6000000;5070.0000000;5077.4000000;5836
YNDX;15;20211207;203000;5077.4000000;5081.6000000;5070.6000000;5074.6000000;3783
YNDX;15;20211207;204500;5075.8000000;5084.8000000;5070.2000000;5082.0000000;5136
YNDX;15;20211207;210000;5081.0000000;5081.6000000;5070.0000000;5072.0000000;7485
YNDX;15;20211207;211500;5071.8000000;5073.8000000;5062.6000000;5064.6000000;8368
YNDX;15;20211207;213000;5064.6000000;5068.6000000;5052.2000000;5052.2000000;3967
YNDX;15;20211207;214500;5055.4000000;5064.0000000;5054.0000000;5055.6000000;3221
YNDX;15;20211207;220000;5056.6000000;5069.8000000;5052.4000000;5069.8000000;5694
YNDX;15;20211207;221500;5071.8000000;5094.0000000;5067.8000000;5069.8000000;9183
YNDX;15;20211207;223000;5069.6000000;5071.2000000;5059.4000000;5063.0000000;12679
YNDX;15;20211207;224500;5063.0000000;5065.0000000;5050.0000000;5054.0000000;16158
YNDX;15;20211207;230000;5054.4000000;5056.0000000;5040.0000000;5040.4000000;23223
YNDX;15;20211207;231500;5042.0000000;5044.8000000;5017.0000000;5020.2000000;7793
YNDX;15;20211207;233000;5019.0000000;5021.6000000;4993.2000000;5003.6000000;29978
YNDX;15;20211207;234500;5003.0000000;5017.4000000;4990.0000000;4997.2000000;17276
YNDX;15;20211208;000000;4997.0000000;4997.2000000;4983.2000000;4992.0000000;7833
YNDX;15;20211208;071500;5016.0000000;5028.0000000;4997.2000000;5014.8000000;2919
YNDX;15;20211208;073000;5014.8000000;5015.0000000;5010.0000000;5012.0000000;1094
YNDX;15;20211208;074500;5014.6000000;5014.8000000;5002.2000000;5007.0000000;1719
YNDX;15;20211208;080000;5012.0000000;5014.8000000;5007.2000000;5011.6000000;1158
YNDX;15;20211208;081500;5011.6000000;5011.6000000;4991.0000000;4997.6000000;3347
YNDX;15;20211208;083000;4995.4000000;4999.0000000;4981.0000000;4986.0000000;4172
YNDX;15;20211208;084500;4986.0000000;5026.2000000;4960.0000000;5007.4000000;8734
YNDX;15;20211208;090000;5009.2000000;5027.0000000;5008.0000000;5022.0000000;3466
YNDX;15;20211208;091500;5022.0000000;5028.0000000;5020.0000000;5024.8000000;2928
YNDX;15;20211208;093000;5024.6000000;5027.0000000;5004.8000000;5012.2000000;2109
YNDX;15;20211208;094500;5012.2000000;5028.4000000;5006.0000000;5028.4000000;1792
YNDX;15;20211208;100000;5028.0000000;5043.8000000;5028.0000000;5032.8000000;4160
YNDX;15;20211208;101500;5036.8000000;5051.4000000;5011.4000000;5043.4000000;15353
YNDX;15;20211208;103000;5043.4000000;5053.8000000;5034.4000000;5050.0000000;14640
YNDX;15;20211208;104500;5048.6000000;5050.8000000;5019.0000000;5026.0000000;12871
YNDX;15;20211208;110000;5024.0000000;5043.4000000;5004.8000000;5040.0000000;11332
YNDX;15;20211208;111500;5036.4000000;5052.2000000;5032.0000000;5045.6000000;11821
YNDX;15;20211208;113000;5042.2000000;5052.6000000;5032.2000000;5044.6000000;7549
YNDX;15;20211208;114500;5042.6000000;5069.6000000;5042.4000000;5053.2000000;19690
YNDX;15;20211208;120000;5053.4000000;5071.2000000;5047.8000000;5066.2000000;9529
YNDX;15;20211208;121500;5065.0000000;5070.0000000;5041.0000000;5062.4000000;21808
YNDX;15;20211208;123000;5062.4000000;5064.4000000;5033.4000000;5041.6000000;31647
YNDX;15;20211208;124500;5038.4000000;5062.0000000;5030.2000000;5056.6000000;16996
YNDX;15;20211208;130000;5056.6000000;5065.8000000;5050.6000000;5058.8000000;13032
YNDX;15;20211208;131500;5058.8000000;5059.6000000;5050.0000000;5053.4000000;8434
YNDX;15;20211208;133000;5053.4000000;5056.0000000;5045.0000000;5046.8000000;9876
YNDX;15;20211208;134500;5046.8000000;5049.0000000;5032.2000000;5035.0000000;9247
YNDX;15;20211208;140000;5034.4000000;5037.0000000;5018.0000000;5024.6000000;10860
YNDX;15;20211208;141500;5027.8000000;5034.8000000;5010.6000000;5027.4000000;23234
YNDX;15;20211208;143000;5028.0000000;5039.2000000;5004.8000000;5009.4000000;18072
YNDX;15;20211208;144500;5008.8000000;5038.6000000;5006.2000000;5037.0000000;14701
YNDX;15;20211208;150000;5038.0000000;5047.0000000;5019.2000000;5024.4000000;13680
YNDX;15;20211208;151500;5024.4000000;5031.4000000;5002.2000000;5014.4000000;14276
YNDX;15;20211208;153000;5014.4000000;5033.2000000;5010.0000000;5017.2000000;7698
YNDX;15;20211208;154500;5013.8000000;5019.8000000;5005.0000000;5010.8000000;4420
YNDX;15;20211208;160000;5009.8000000;5012.0000000;5002.2000000;5010.0000000;17494
YNDX;15;20211208;161500;5010.0000000;5013.0000000;4981.0000000;4996.8000000;25553
YNDX;15;20211208;163000;4996.4000000;5008.0000000;4975.0000000;5002.0000000;22837
YNDX;15;20211208;164500;4999.4000000;5009.4000000;4980.0000000;4995.0000000;13510
YNDX;15;20211208;170000;4995.2000000;5005.2000000;4993.2000000;4996.0000000;9429
YNDX;15;20211208;171500;4996.0000000;4996.0000000;4950.0000000;4971.6000000;26662
YNDX;15;20211208;173000;4971.4000000;4973.0000000;4910.2000000;4932.4000000;30300
YNDX;15;20211208;174500;4931.2000000;4931.2000000;4775.0000000;4803.0000000;219780
YNDX;15;20211208;180000;4804.4000000;4871.4000000;4803.0000000;4830.8000000;68942
YNDX;15;20211208;181500;4833.0000000;4880.0000000;4820.0000000;4857.6000000;53090
YNDX;15;20211208;183000;4857.6000000;4865.6000000;4837.0000000;4863.2000000;26912
YNDX;15;20211208;184500;4863.2000000;4895.0000000;4863.2000000;4886.6000000;37211
YNDX;15;20211208;190000;4869.8000000;4869.8000000;4869.8000000;4869.8000000;20180
YNDX;15;20211208;191500;4927.2000000;4948.0000000;4908.2000000;4938.4000000;22185
YNDX;15;20211208;193000;4935.6000000;4973.0000000;4930.0000000;4973.0000000;15788
YNDX;15;20211208;194500;4968.0000000;4991.0000000;4960.0000000;4990.8000000;14970
YNDX;15;20211208;200000;4990.8000000;4995.0000000;4968.2000000;4981.8000000;7876
YNDX;15;20211208;201500;4984.0000000;4985.0000000;4954.0000000;4972.6000000;4811
YNDX;15;20211208;203000;4972.6000000;4972.6000000;4945.0000000;4966.6000000;8096
YNDX;15;20211208;204500;4964.8000000;4971.0000000;4960.0000000;4968.2000000;1840
YNDX;15;20211208;210000;4965.6000000;4973.6000000;4951.6000000;4957.8000000;2578
YNDX;15;20211208;211500;4957.8000000;4968.8000000;4952.8000000;4963.4000000;5423
YNDX;15;20211208;213000;4960.8000000;4968.8000000;4952.0000000;4952.4000000;1847
YNDX;15;20211208;214500;4954.8000000;4966.0000000;4952.0000000;4961.8000000;1820
YNDX;15;20211208;220000;4959.6000000;4970.8000000;4941.4000000;4944.8000000;3895
YNDX;15;20211208;221500;4945.6000000;4952.2000000;4924.8000000;4928.6000000;5351
YNDX;15;20211208;223000;4929.2000000;4935.0000000;4923.4000000;4934.8000000;1603
YNDX;15;20211208;224500;4934.6000000;4940.0000000;4922.8000000;4926.2000000;3494
YNDX;15;20211208;230000;4925.0000000;4939.2000000;4924.0000000;4938.2000000;2967
YNDX;15;20211208;231500;4936.8000000;4938.4000000;4923.2000000;4926.4000000;5157
