<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;5;20211207;070500;5080.0000000;5094.8000000;5068.0000000;5093.8000000;204
YNDX;5;20211207;071000;5093.8000000;5099.8000000;5093.0000000;5099.8000000;326
YNDX;5;20211207;071500;5099.0000000;5099.8000000;5094.2000000;5094.2000000;189
YNDX;5;20211207;072000;5094.2000000;5097.6000000;5087.0000000;5088.0000000;250
YNDX;5;20211207;072500;5088.0000000;5096.4000000;5082.0000000;5096.4000000;238
YNDX;5;20211207;073000;5096.4000000;5098.8000000;5062.4000000;5082.6000000;830
YNDX;5;20211207;073500;5082.6000000;5089.4000000;5070.6000000;5089.0000000;433
YNDX;5;20211207;074000;5089.0000000;5099.0000000;5089.0000000;5099.0000000;1030
YNDX;5;20211207;074500;5098.8000000;5121.8000000;5098.8000000;5107.0000000;2605
YNDX;5;20211207;075000;5107.0000000;5118.0000000;5100.0000000;5113.0000000;817
YNDX;5;20211207;075500;5117.0000000;5117.0000000;5100.8000000;5103.6000000;1022
YNDX;5;20211207;080000;5101.0000000;5103.6000000;5070.0000000;5070.0000000;1427
YNDX;5;20211207;080500;5073.0000000;5094.4000000;5073.0000000;5081.8000000;1588
YNDX;5;20211207;081000;5081.8000000;5110.0000000;5081.2000000;5110.0000000;336
YNDX;5;20211207;081500;5110.0000000;5116.8000000;5095.2000000;5100.0000000;269
YNDX;5;20211207;082000;5100.0000000;5111.4000000;5100.0000000;5101.0000000;307
YNDX;5;20211207;082500;5101.2000000;5101.2000000;5083.4000000;5097.8000000;560
YNDX;5;20211207;083000;5101.2000000;5111.6000000;5096.4000000;5099.8000000;226
YNDX;5;20211207;083500;5099.8000000;5099.8000000;5090.2000000;5099.2000000;1120
YNDX;5;20211207;084000;5099.6000000;5099.6000000;5090.0000000;5099.2000000;311
YNDX;5;20211207;084500;5098.6000000;5098.6000000;5090.0000000;5095.0000000;245
YNDX;5;20211207;085000;5095.0000000;5095.0000000;5093.0000000;5094.0000000;141
YNDX;5;20211207;085500;5094.0000000;5094.0000000;5085.0000000;5090.0000000;586
YNDX;5;20211207;090000;5090.0000000;5095.0000000;5087.8000000;5095.0000000;892
YNDX;5;20211207;090500;5095.0000000;5097.0000000;5093.4000000;5096.8000000;167
YNDX;5;20211207;091000;5096.8000000;5098.8000000;5087.8000000;5098.8000000;219
YNDX;5;20211207;091500;5098.6000000;5099.0000000;5096.6000000;5099.0000000;174
YNDX;5;20211207;092000;5099.0000000;5108.6000000;5098.6000000;5107.8000000;419
YNDX;5;20211207;092500;5108.0000000;5117.8000000;5107.8000000;5116.0000000;1067
YNDX;5;20211207;093000;5114.2000000;5116.2000000;5109.2000000;5115.4000000;908
YNDX;5;20211207;093500;5115.2000000;5119.8000000;5109.2000000;5119.4000000;935
YNDX;5;20211207;094000;5119.4000000;5119.8000000;5110.2000000;5117.0000000;714
YNDX;5;20211207;094500;5117.0000000;5117.0000000;5114.4000000;5116.0000000;352
YNDX;5;20211207;095000;5116.0000000;5116.0000000;5110.0000000;5115.8000000;963
YNDX;5;20211207;095500;5115.2000000;5116.0000000;5115.0000000;5115.6000000;585
YNDX;5;20211207;100000;5115.6000000;5116.0000000;5110.0000000;5116.0000000;486
YNDX;5;20211207;100500;5115.0000000;5126.0000000;5092.8000000;5100.0000000;8934
YNDX;5;20211207;101000;5100.0000000;5138.8000000;5093.0000000;5099.0000000;11050
YNDX;5;20211207;101500;5098.8000000;5114.0000000;5096.2000000;5112.0000000;1926
YNDX;5;20211207;102000;5112.4000000;5132.0000000;5106.6000000;5111.2000000;6448
YNDX;5;20211207;102500;5109.2000000;5115.0000000;5102.2000000;5112.8000000;2481
YNDX;5;20211207;103000;5112.8000000;5115.0000000;5096.0000000;5109.0000000;3635
YNDX;5;20211207;103500;5109.0000000;5116.4000000;5106.0000000;5115.0000000;3809
YNDX;5;20211207;104000;5115.0000000;5116.4000000;5093.8000000;5104.2000000;10979
YNDX;5;20211207;104500;5104.0000000;5110.2000000;5054.4000000;5067.0000000;10531
YNDX;5;20211207;105000;5065.0000000;5072.2000000;5042.0000000;5057.6000000;11225
YNDX;5;20211207;105500;5056.2000000;5085.2000000;5056.2000000;5079.0000000;9179
YNDX;5;20211207;110000;5081.2000000;5084.4000000;5068.8000000;5079.4000000;3759
